,Pclass,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,title_Master,title_Miss,title_Mr,title_Mrs
0,3,0,0,7.8292,0,1,0,1,0,0,0,1,0
1,3,1,0,7.0,1,0,0,0,1,0,0,0,1
2,2,0,0,9.6875,0,1,0,1,0,0,0,1,0
3,3,0,0,8.6625,0,1,0,0,1,0,0,1,0
4,3,1,1,12.2875,1,0,0,0,1,0,0,0,1
5,3,0,0,9.225,0,1,0,0,1,0,0,1,0
6,3,0,0,7.6292,1,0,0,1,0,0,1,0,0
7,2,1,1,29.0,0,1,0,0,1,0,0,1,0
8,3,0,0,7.2292,1,0,1,0,0,0,0,0,1
9,3,2,0,24.15,0,1,0,0,1,0,0,1,0
10,3,0,0,7.8958,0,1,0,0,1,0,0,1,0
11,1,0,0,26.0,0,1,0,0,1,0,0,1,0
12,1,1,0,82.2667,1,0,0,0,1,0,0,0,1
13,2,1,0,26.0,0,1,0,0,1,0,0,1,0
14,1,1,0,61.175,1,0,0,0,1,0,0,0,1
15,2,1,0,27.7208,1,0,1,0,0,0,0,0,1
16,2,0,0,12.35,0,1,0,1,0,0,0,1,0
17,3,0,0,7.225,0,1,1,0,0,0,0,1,0
18,3,1,0,7.925,1,0,0,0,1,0,1,0,0
19,3,0,0,7.225,1,0,1,0,0,0,0,0,1
20,1,1,0,59.4,0,1,1,0,0,0,0,1,0
21,3,0,1,3.1708,0,1,0,0,1,1,0,0,0
22,1,0,0,31.6833,1,0,0,0,1,0,0,0,1
23,1,0,1,61.3792,0,1,1,0,0,0,0,1,0
24,1,1,3,262.375,1,0,1,0,0,0,0,0,1
25,3,1,0,14.5,0,1,0,0,1,0,0,1,0
26,1,0,1,61.9792,1,0,1,0,0,0,1,0,0
27,3,0,0,7.225,0,1,1,0,0,0,0,1,0
28,1,0,0,30.5,0,1,0,0,1,0,0,1,0
29,3,2,0,21.6792,0,1,1,0,0,0,0,1,0
30,2,1,0,26.0,0,1,0,0,1,0,0,1,0
31,2,2,0,31.5,0,1,0,0,1,0,0,1,0
32,3,1,2,20.575,1,0,0,0,1,0,0,0,1
33,3,1,2,23.45,1,0,0,0,1,0,0,0,1
34,1,1,0,57.75,0,1,1,0,0,0,0,1,0
35,3,0,0,7.2292,0,1,1,0,0,0,0,1,0
36,3,0,0,8.05,1,0,0,0,1,0,1,0,0
37,3,0,0,8.6625,1,0,0,0,1,0,1,0,0
38,3,0,0,9.5,0,1,0,0,1,0,0,1,0
39,3,0,0,56.4958,0,1,0,0,1,0,0,1,0
40,3,0,1,13.4167,0,1,1,0,0,0,0,1,0
41,1,0,0,26.55,0,1,0,0,1,0,0,1,0
42,3,0,0,7.85,0,1,0,0,1,0,0,1,0
43,2,0,0,13.0,1,0,0,0,1,0,0,0,1
44,1,1,0,52.5542,1,0,0,0,1,0,0,0,1
45,3,0,0,7.925,0,1,0,0,1,0,0,1,0
46,1,0,0,29.7,0,1,1,0,0,0,0,1,0
47,3,0,0,7.75,0,1,0,1,0,0,0,1,0
48,1,0,0,76.2917,1,0,1,0,0,0,0,0,1
49,3,0,2,15.9,1,0,0,0,1,0,0,0,1
50,1,1,0,60.0,0,1,0,0,1,0,0,1,0
51,2,0,0,15.0333,0,1,1,0,0,0,0,1,0
52,2,2,1,23.0,1,0,0,0,1,0,1,0,0
53,1,3,2,263.0,1,0,0,0,1,0,1,0,0
54,2,0,0,15.5792,0,1,1,0,0,0,0,1,0
55,3,4,1,29.125,0,1,0,1,0,1,0,0,0
56,3,0,0,7.8958,0,1,0,0,1,0,0,1,0
57,3,0,0,7.65,0,1,0,0,1,0,0,1,0
58,3,1,0,16.1,0,1,0,0,1,0,0,1,0
59,1,0,0,262.375,1,0,1,0,0,0,1,0,0
60,3,0,0,7.8958,0,1,0,0,1,0,0,1,0
61,2,0,0,13.5,0,1,0,0,1,0,0,1,0
62,3,0,0,7.75,0,1,0,0,1,0,0,1,0
63,3,0,0,7.725,1,0,0,1,0,0,1,0,0
64,1,2,2,262.375,0,1,1,0,0,1,0,0,0
65,2,0,0,21.0,1,0,0,0,1,0,0,0,1
66,3,0,0,7.8792,1,0,0,1,0,0,1,0,0
67,1,0,0,42.4,0,1,0,0,1,0,0,1,0
68,1,0,0,28.5375,0,1,1,0,0,0,0,1,0
69,1,1,4,263.0,1,0,0,0,1,0,0,0,1
70,3,0,0,7.75,1,0,0,1,0,0,1,0,0
71,3,0,0,7.8958,0,1,0,0,1,0,0,1,0
72,3,0,0,7.925,1,0,0,0,1,0,1,0,0
73,1,0,0,27.7208,0,1,1,0,0,0,0,1,0
74,1,0,0,211.5,1,0,1,0,0,0,1,0,0
75,1,0,0,211.5,0,1,1,0,0,0,0,1,0
76,3,0,0,8.05,0,1,0,0,1,0,0,1,0
77,1,2,0,25.7,1,0,0,0,1,0,0,0,1
78,2,0,0,13.0,0,1,0,0,1,0,0,1,0
79,3,0,0,7.75,1,0,0,1,0,0,1,0,0
80,3,1,1,15.2458,0,1,1,0,0,1,0,0,0
81,1,1,0,221.7792,0,1,0,0,1,0,0,1,0
82,1,0,0,26.0,0,1,0,0,1,0,0,1,0
83,3,0,0,7.8958,0,1,0,0,1,0,0,1,0
84,2,0,0,10.7083,0,1,0,1,0,0,0,1,0
85,3,1,0,14.4542,0,1,1,0,0,0,0,1,0
86,3,0,0,7.8792,1,0,0,1,0,0,1,0,0
87,3,0,0,8.05,1,0,0,0,1,0,1,0,0
88,3,0,0,7.75,1,0,0,1,0,0,0,0,0
89,2,1,1,23.0,0,1,0,0,1,1,0,0,0
90,3,1,0,13.9,1,0,0,0,1,0,0,0,1
91,3,0,0,7.775,0,1,0,0,1,0,0,1,0
92,1,1,2,52.0,1,0,0,0,1,0,0,0,1
93,3,0,0,8.05,0,1,0,0,1,0,0,1,0
94,1,0,0,26.0,0,1,1,0,0,0,0,1,0
95,3,0,0,7.7958,0,1,0,0,1,0,0,1,0
96,1,1,0,78.85,1,0,0,0,1,0,0,0,1
97,3,0,0,7.925,0,1,0,0,1,0,0,1,0
98,3,0,0,7.8542,1,0,0,0,1,0,1,0,0
99,3,0,0,8.05,0,1,0,0,1,0,0,1,0
100,1,1,0,55.4417,1,0,1,0,0,0,0,0,1
101,2,1,0,26.0,0,1,0,0,1,0,0,1,0
102,3,0,0,7.75,0,1,0,1,0,0,0,1,0
103,3,0,0,7.775,0,1,0,0,1,0,0,1,0
104,3,1,1,8.5167,1,0,1,0,0,0,0,0,1
